0023_20E3	keycap: #
1F468_1F3FB_200D_1F33E	man farmer: light skin tone
1F468_1F3FB_200D_1F373	man cook: light skin tone
1F468_1F3FB_200D_1F37C	man feeding baby: light skin tone
1F468_1F3FB_200D_1F393	man student: light skin tone
1F468_1F3FB_200D_1F3A4	man singer: light skin tone
1F468_1F3FB_200D_1F3A8	man artist: light skin tone
1F468_1F3FB_200D_1F3EB	man teacher: light skin tone
1F468_1F3FB_200D_1F3ED	man factory worker: light skin tone
1F468_1F3FB_200D_1F430_200D_1F468_1F3FC	men with bunny ears: light skin tone, medium-light skin tone
1F468_1F3FB_200D_1F430_200D_1F468_1F3FD	men with bunny ears: light skin tone, medium skin tone
1F468_1F3FB_200D_1F430_200D_1F468_1F3FE	men with bunny ears: light skin tone, medium-dark skin tone
1F468_1F3FB_200D_1F430_200D_1F468_1F3FF	men with bunny ears: light skin tone, dark skin tone
1F468_1F3FB_200D_1F4BB	man technologist: light skin tone
1F468_1F3FB_200D_1F4BC	man office worker: light skin tone
1F468_1F3FB_200D_1F527	man mechanic: light skin tone
1F468_1F3FB_200D_1F52C	man scientist: light skin tone
1F468_1F3FB_200D_1F680	man astronaut: light skin tone
1F468_1F3FB_200D_1F692	man firefighter: light skin tone
1F468_1F3FB_200D_1F91D_200D_1F468_1F3FC	men holding hands: light skin tone, medium-light skin tone
1F468_1F3FB_200D_1F91D_200D_1F468_1F3FD	men holding hands: light skin tone, medium skin tone
1F468_1F3FB_200D_1F91D_200D_1F468_1F3FE	men holding hands: light skin tone, medium-dark skin tone
1F468_1F3FB_200D_1F91D_200D_1F468_1F3FF	men holding hands: light skin tone, dark skin tone
1F468_1F3FB_200D_1F9AF	man with white cane: light skin tone
1F468_1F3FB_200D_1F9AF_200D_27A1	man with white cane: light skin tone, facing right
1F468_1F3FB_200D_1F9B0	man: light skin tone, red hair
1F468_1F3FB_200D_1F9B1	man: light skin tone, curly hair
1F468_1F3FB_200D_1F9B2	man: light skin tone, bald
1F468_1F3FB_200D_1F9B3	man: light skin tone, white hair
1F468_1F3FB_200D_1F9BC	man in motorized wheelchair: light skin tone
1F468_1F3FB_200D_1F9BC_200D_27A1	man in motorized wheelchair: light skin tone, facing right
1F468_1F3FB_200D_1F9BD	man in manual wheelchair: light skin tone
1F468_1F3FB_200D_1F9BD_200D_27A1	man in manual wheelchair: light skin tone, facing right
1F468_1F3FB_200D_1FAEF_200D_1F468_1F3FC	men wrestling: light skin tone, medium-light skin tone
1F468_1F3FB_200D_1FAEF_200D_1F468_1F3FD	men wrestling: light skin tone, medium skin tone
1F468_1F3FB_200D_1FAEF_200D_1F468_1F3FE	men wrestling: light skin tone, medium-dark skin tone
1F468_1F3FB_200D_1FAEF_200D_1F468_1F3FF	men wrestling: light skin tone, dark skin tone
1F468_1F3FC	man: medium-light skin tone
1F468_1F3FC_200D_2695	man health worker: medium-light skin tone
1F468_1F3FC_200D_2696	man judge: medium-light skin tone
1F468_1F3FC_200D_2708	man pilot: medium-light skin tone
1F468_1F3FC_200D_2764_200D_1F468_1F3FB	couple with heart: man, man, medium-light skin tone, light skin tone
1F468_1F3FC_200D_2764_200D_1F468_1F3FC	couple with heart: man, man, medium-light skin tone
1F468_1F3FC_200D_2764_200D_1F468_1F3FD	couple with heart: man, man, medium-light skin tone, medium skin tone
1F468_1F3FC_200D_2764_200D_1F468_1F3FE	couple with heart: man, man, medium-light skin tone, medium-dark skin tone
1F468_1F3FC_200D_2764_200D_1F468_1F3FF	couple with heart: man, man, medium-light skin tone, dark skin tone
1F468_1F3FC_200D_2764_200D_1F48B_200D_1F468_1F3FB	kiss: man, man, medium-light skin tone, light skin tone
1F468_1F3FC_200D_2764_200D_1F48B_200D_1F468_1F3FC	kiss: man, man, medium-light skin tone
1F468_1F3FC_200D_2764_200D_1F48B_200D_1F468_1F3FD	kiss: man, man, medium-light skin tone, medium skin tone
1F468_1F3FC_200D_2764_200D_1F48B_200D_1F468_1F3FE	kiss: man, man, medium-light skin tone, medium-dark skin tone
1F468_1F3FC_200D_2764_200D_1F48B_200D_1F468_1F3FF	kiss: man, man, medium-light skin tone, dark skin tone
1F468_1F3FC_200D_1F33E	man farmer: medium-light skin tone
1F468_1F3FC_200D_1F373	man cook: medium-light skin tone
1F468_1F3FC_200D_1F37C	man feeding baby: medium-light skin tone
1F468_1F3FC_200D_1F393	man student: medium-light skin tone
1F468_1F3FC_200D_1F3A4	man singer: medium-light skin tone
1F468_1F3FC_200D_1F3A8	man artist: medium-light skin tone
1F468_1F3FC_200D_1F3EB	man teacher: medium-light skin tone
1F468_1F3FC_200D_1F3ED	man factory worker: medium-light skin tone
1F468_1F3FC_200D_1F430_200D_1F468_1F3FB	men with bunny ears: medium-light skin tone, light skin tone
1F468_1F3FC_200D_1F430_200D_1F468_1F3FD	men with bunny ears: medium-light skin tone, medium skin tone
1F468_1F3FC_200D_1F430_200D_1F468_1F3FE	men with bunny ears: medium-light skin tone, medium-dark skin tone
1F468_1F3FC_200D_1F430_200D_1F468_1F3FF	men with bunny ears: medium-light skin tone, dark skin tone
1F468_1F3FC_200D_1F4BB	man technologist: medium-light skin tone
1F468_1F3FC_200D_1F4BC	man office worker: medium-light skin tone
1F468_1F3FC_200D_1F527	man mechanic: medium-light skin tone
1F468_1F3FC_200D_1F52C	man scientist: medium-light skin tone
1F468_1F3FC_200D_1F680	man astronaut: medium-light skin tone
1F468_1F3FC_200D_1F692	man firefighter: medium-light skin tone
1F468_1F3FC_200D_1F91D_200D_1F468_1F3FB	men holding hands: medium-light skin tone, light skin tone
1F468_1F3FC_200D_1F91D_200D_1F468_1F3FD	men holding hands: medium-light skin tone, medium skin tone
1F468_1F3FC_200D_1F91D_200D_1F468_1F3FE	men holding hands: medium-light skin tone, medium-dark skin tone
1F468_1F3FC_200D_1F91D_200D_1F468_1F3FF	men holding hands: medium-light skin tone, dark skin tone
1F468_1F3FC_200D_1F9AF	man with white cane: medium-light skin tone
1F468_1F3FC_200D_1F9AF_200D_27A1	man with white cane: medium-light skin tone, facing right
1F468_1F3FC_200D_1F9B0	man: medium-light skin tone, red hair
1F468_1F3FC_200D_1F9B1	man: medium-light skin tone, curly hair
1F468_1F3FC_200D_1F9B2	man: medium-light skin tone, bald
1F468_1F3FC_200D_1F9B3	man: medium-light skin tone, white hair
1F468_1F3FC_200D_1F9BC	man in motorized wheelchair: medium-light skin tone
1F468_1F3FC_200D_1F9BC_200D_27A1	man in motorized wheelchair: medium-light skin tone, facing right
1F468_1F3FC_200D_1F9BD	man in manual wheelchair: medium-light skin tone
1F468_1F3FC_200D_1F9BD_200D_27A1	man in manual wheelchair: medium-light skin tone, facing right
1F468_1F3FC_200D_1FAEF_200D_1F468_1F3FB	men wrestling: medium-light skin tone, light skin tone
1F468_1F3FC_200D_1FAEF_200D_1F468_1F3FD	men wrestling: medium-light skin tone, medium skin tone
1F468_1F3FC_200D_1FAEF_200D_1F468_1F3FE	men wrestling: medium-light skin tone, medium-dark skin tone
1F468_1F3FC_200D_1FAEF_200D_1F468_1F3FF	men wrestling: medium-light skin tone, dark skin tone
1F468_1F3FD	man: medium skin tone
1F468_1F3FD_200D_2695	man health worker: medium skin tone
1F468_1F3FD_200D_2696	man judge: medium skin tone
1F468_1F3FD_200D_2708	man pilot: medium skin tone
1F468_1F3FD_200D_2764_200D_1F468_1F3FB	couple with heart: man, man, medium skin tone, light skin tone
1F468_1F3FD_200D_2764_200D_1F468_1F3FC	couple with heart: man, man, medium skin tone, medium-light skin tone
1F468_1F3FD_200D_2764_200D_1F468_1F3FD	couple with heart: man, man, medium skin tone
1F468_1F3FD_200D_2764_200D_1F468_1F3FE	couple with heart: man, man, medium skin tone, medium-dark skin tone
1F468_1F3FD_200D_2764_200D_1F468_1F3FF	couple with heart: man, man, medium skin tone, dark skin tone
1F468_1F3FD_200D_2764_200D_1F48B_200D_1F468_1F3FB	kiss: man, man, medium skin tone, light skin tone
1F468_1F3FD_200D_2764_200D_1F48B_200D_1F468_1F3FC	kiss: man, man, medium skin tone, medium-light skin tone
1F468_1F3FD_200D_2764_200D_1F48B_200D_1F468_1F3FD	kiss: man, man, medium skin tone
1F468_1F3FD_200D_2764_200D_1F48B_200D_1F468_1F3FE	kiss: man, man, medium skin tone, medium-dark skin tone
1F468_1F3FD_200D_2764_200D_1F48B_200D_1F468_1F3FF	kiss: man, man, medium skin tone, dark skin tone
1F468_1F3FD_200D_1F33E	man farmer: medium skin tone
1F468_1F3FD_200D_1F373	man cook: medium skin tone
1F468_1F3FD_200D_1F37C	man feeding baby: medium skin tone
1F468_1F3FD_200D_1F393	man student: medium skin tone
1F468_1F3FD_200D_1F3A4	man singer: medium skin tone
1F468_1F3FD_200D_1F3A8	man artist: medium skin tone
1F468_1F3FD_200D_1F3EB	man teacher: medium skin tone
1F468_1F3FD_200D_1F3ED	man factory worker: medium skin tone
1F468_1F3FD_200D_1F430_200D_1F468_1F3FB	men with bunny ears: medium skin tone, light skin tone
1F468_1F3FD_200D_1F430_200D_1F468_1F3FC	men with bunny ears: medium skin tone, medium-light skin tone
1F468_1F3FD_200D_1F430_200D_1F468_1F3FE	men with bunny ears: medium skin tone, medium-dark skin tone
1F468_1F3FD_200D_1F430_200D_1F468_1F3FF	men with bunny ears: medium skin tone, dark skin tone
1F468_1F3FD_200D_1F4BB	man technologist: medium skin tone
1F468_1F3FD_200D_1F4BC	man office worker: medium skin tone
1F468_1F3FD_200D_1F527	man mechanic: medium skin tone
1F468_1F3FD_200D_1F52C	man scientist: medium skin tone
1F468_1F3FD_200D_1F680	man astronaut: medium skin tone
1F468_1F3FD_200D_1F692	man firefighter: medium skin tone
1F468_1F3FD_200D_1F91D_200D_1F468_1F3FB	men holding hands: medium skin tone, light skin tone
1F468_1F3FD_200D_1F91D_200D_1F468_1F3FC	men holding hands: medium skin tone, medium-light skin tone
1F468_1F3FD_200D_1F91D_200D_1F468_1F3FE	men holding hands: medium skin tone, medium-dark skin tone
1F468_1F3FD_200D_1F91D_200D_1F468_1F3FF	men holding hands: medium skin tone, dark skin tone
1F468_1F3FD_200D_1F9AF	man with white cane: medium skin tone
1F468_1F3FD_200D_1F9AF_200D_27A1	man with white cane: medium skin tone, facing right
1F468_1F3FD_200D_1F9B0	man: medium skin tone, red hair
1F468_1F3FD_200D_1F9B1	man: medium skin tone, curly hair
1F468_1F3FD_200D_1F9B2	man: medium skin tone, bald
1F468_1F3FD_200D_1F9B3	man: medium skin tone, white hair
1F468_1F3FD_200D_1F9BC	man in motorized wheelchair: medium skin tone
1F468_1F3FD_200D_1F9BC_200D_27A1	man in motorized wheelchair: medium skin tone, facing right
1F468_1F3FD_200D_1F9BD	man in manual wheelchair: medium skin tone
1F468_1F3FD_200D_1F9BD_200D_27A1	man in manual wheelchair: medium skin tone, facing right
1F468_1F3FD_200D_1FAEF_200D_1F468_1F3FB	men wrestling: medium skin tone, light skin tone
1F468_1F3FD_200D_1FAEF_200D_1F468_1F3FC	men wrestling: medium skin tone, medium-light skin tone
1F468_1F3FD_200D_1FAEF_200D_1F468_1F3FE	men wrestling: medium skin tone, medium-dark skin tone
1F468_1F3FD_200D_1FAEF_200D_1F468_1F3FF	men wrestling: medium skin tone, dark skin tone
1F468_1F3FE	man: medium-dark skin tone
1F468_1F3FE_200D_2695	man health worker: medium-dark skin tone
1F468_1F3FE_200D_2696	man judge: medium-dark skin tone
1F468_1F3FE_200D_2708	man pilot: medium-dark skin tone
1F468_1F3FE_200D_2764_200D_1F468_1F3FB	couple with heart: man, man, medium-dark skin tone, light skin tone
1F468_1F3FE_200D_2764_200D_1F468_1F3FC	couple with heart: man, man, medium-dark skin tone, medium-light skin tone
1F468_1F3FE_200D_2764_200D_1F468_1F3FD	couple with heart: man, man, medium-dark skin tone, medium skin tone
1F468_1F3FE_200D_2764_200D_1F468_1F3FE	couple with heart: man, man, medium-dark skin tone
1F468_1F3FE_200D_2764_200D_1F468_1F3FF	couple with heart: man, man, medium-dark skin tone, dark skin tone
1F468_1F3FE_200D_2764_200D_1F48B_200D_1F468_1F3FB	kiss: man, man, medium-dark skin tone, light skin tone
1F468_1F3FE_200D_2764_200D_1F48B_200D_1F468_1F3FC	kiss: man, man, medium-dark skin tone, medium-light skin tone
1F468_1F3FE_200D_2764_200D_1F48B_200D_1F468_1F3FD	kiss: man, man, medium-dark skin tone, medium skin tone
1F468_1F3FE_200D_2764_200D_1F48B_200D_1F468_1F3FE	kiss: man, man, medium-dark skin tone
1F468_1F3FE_200D_2764_200D_1F48B_200D_1F468_1F3FF	kiss: man, man, medium-dark skin tone, dark skin tone
1F468_1F3FE_200D_1F33E	man farmer: medium-dark skin tone
1F468_1F3FE_200D_1F373	man cook: medium-dark skin tone
1F468_1F3FE_200D_1F37C	man feeding baby: medium-dark skin tone
1F468_1F3FE_200D_1F393	man student: medium-dark skin tone
1F468_1F3FE_200D_1F3A4	man singer: medium-dark skin tone
1F468_1F3FE_200D_1F3A8	man artist: medium-dark skin tone
1F468_1F3FE_200D_1F3EB	man teacher: medium-dark skin tone
1F468_1F3FE_200D_1F3ED	man factory worker: medium-dark skin tone
1F468_1F3FE_200D_1F430_200D_1F468_1F3FB	men with bunny ears: medium-dark skin tone, light skin tone
1F468_1F3FE_200D_1F430_200D_1F468_1F3FC	men with bunny ears: medium-dark skin tone, medium-light skin tone
1F468_1F3FE_200D_1F430_200D_1F468_1F3FD	men with bunny ears: medium-dark skin tone, medium skin tone
1F468_1F3FE_200D_1F430_200D_1F468_1F3FF	men with bunny ears: medium-dark skin tone, dark skin tone
1F468_1F3FE_200D_1F4BB	man technologist: medium-dark skin tone
1F468_1F3FE_200D_1F4BC	man office worker: medium-dark skin tone
1F468_1F3FE_200D_1F527	man mechanic: medium-dark skin tone
1F468_1F3FE_200D_1F52C	man scientist: medium-dark skin tone
1F468_1F3FE_200D_1F680	man astronaut: medium-dark skin tone
1F468_1F3FE_200D_1F692	man firefighter: medium-dark skin tone
1F468_1F3FE_200D_1F91D_200D_1F468_1F3FB	men holding hands: medium-dark skin tone, light skin tone
1F468_1F3FE_200D_1F91D_200D_1F468_1F3FC	men holding hands: medium-dark skin tone, medium-light skin tone
1F468_1F3FE_200D_1F91D_200D_1F468_1F3FD	men holding hands: medium-dark skin tone, medium skin tone
1F468_1F3FE_200D_1F91D_200D_1F468_1F3FF	men holding hands: medium-dark skin tone, dark skin tone
1F468_1F3FE_200D_1F9AF	man with white cane: medium-dark skin tone
1F468_1F3FE_200D_1F9AF_200D_27A1	man with white cane: medium-dark skin tone, facing right
1F468_1F3FE_200D_1F9B0	man: medium-dark skin tone, red hair
1F468_1F3FE_200D_1F9B1	man: medium-dark skin tone, curly hair
1F468_1F3FE_200D_1F9B2	man: medium-dark skin tone, bald
1F468_1F3FE_200D_1F9B3	man: medium-dark skin tone, white hair
1F468_1F3FE_200D_1F9BC	man in motorized wheelchair: medium-dark skin tone
1F468_1F3FE_200D_1F9BC_200D_27A1	man in motorized wheelchair: medium-dark skin tone, facing right
1F468_1F3FE_200D_1F9BD	man in manual wheelchair: medium-dark skin tone
1F468_1F3FE_200D_1F9BD_200D_27A1	man in manual wheelchair: medium-dark skin tone, facing right
1F468_1F3FE_200D_1FAEF_200D_1F468_1F3FB	men wrestling: medium-dark skin tone, light skin tone
1F468_1F3FE_200D_1FAEF_200D_1F468_1F3FC	men wrestling: medium-dark skin tone, medium-light skin tone
1F468_1F3FE_200D_1FAEF_200D_1F468_1F3FD	men wrestling: medium-dark skin tone, medium skin tone
1F468_1F3FE_200D_1FAEF_200D_1F468_1F3FF	men wrestling: medium-dark skin tone, dark skin tone
1F468_1F3FF	man: dark skin tone
1F468_1F3FF_200D_2695	man health worker: dark skin tone
1F468_1F3FF_200D_2696	man judge: dark skin tone
1F468_1F3FF_200D_2708	man pilot: dark skin tone
1F468_1F3FF_200D_2764_200D_1F468_1F3FB	couple with heart: man, man, dark skin tone, light skin tone
1F468_1F3FF_200D_2764_200D_1F468_1F3FC	couple with heart: man, man, dark skin tone, medium-light skin tone
1F468_1F3FF_200D_2764_200D_1F468_1F3FD	couple with heart: man, man, dark skin tone, medium skin tone
1F468_1F3FF_200D_2764_200D_1F468_1F3FE	couple with heart: man, man, dark skin tone, medium-dark skin tone
1F468_1F3FF_200D_2764_200D_1F468_1F3FF	couple with heart: man, man, dark skin tone
1F468_1F3FF_200D_2764_200D_1F48B_200D_1F468_1F3FB	kiss: man, man, dark skin tone, light skin tone
1F468_1F3FF_200D_2764_200D_1F48B_200D_1F468_1F3FC	kiss: man, man, dark skin tone, medium-light skin tone
1F468_1F3FF_200D_2764_200D_1F48B_200D_1F468_1F3FD	kiss: man, man, dark skin tone, medium skin tone
1F468_1F3FF_200D_2764_200D_1F48B_200D_1F468_1F3FE	kiss: man, man, dark skin tone, medium-dark skin tone
1F468_1F3FF_200D_2764_200D_1F48B_200D_1F468_1F3FF	kiss: man, man, dark skin tone
1F468_1F3FF_200D_1F33E	man farmer: dark skin tone
1F468_1F3FF_200D_1F373	man cook: dark skin tone
1F468_1F3FF_200D_1F37C	man feeding baby: dark skin tone
1F468_1F3FF_200D_1F393	man student: dark skin tone
1F468_1F3FF_200D_1F3A4	man singer: dark skin tone
1F468_1F3FF_200D_1F3A8	man artist: dark skin tone
1F468_1F3FF_200D_1F3EB	man teacher: dark skin tone
1F468_1F3FF_200D_1F3ED	man factory worker: dark skin tone
1F468_1F3FF_200D_1F430_200D_1F468_1F3FB	men with bunny ears: dark skin tone, light skin tone
1F468_1F3FF_200D_1F430_200D_1F468_1F3FC	men with bunny ears: dark skin tone, medium-light skin tone
1F468_1F3FF_200D_1F430_200D_1F468_1F3FD	men with bunny ears: dark skin tone, medium skin tone
1F468_1F3FF_200D_1F430_200D_1F468_1F3FE	men with bunny ears: dark skin tone, medium-dark skin tone
1F468_1F3FF_200D_1F4BB	man technologist: dark skin tone
1F468_1F3FF_200D_1F4BC	man office worker: dark skin tone
1F468_1F3FF_200D_1F527	man mechanic: dark skin tone
1F468_1F3FF_200D_1F52C	man scientist: dark skin tone
1F468_1F3FF_200D_1F680	man astronaut: dark skin tone
1F468_1F3FF_200D_1F692	man firefighter: dark skin tone
1F468_1F3FF_200D_1F91D_200D_1F468_1F3FB	men holding hands: dark skin tone, light skin tone
1F468_1F3FF_200D_1F91D_200D_1F468_1F3FC	men holding hands: dark skin tone, medium-light skin tone
1F468_1F3FF_200D_1F91D_200D_1F468_1F3FD	men holding hands: dark skin tone, medium skin tone
1F468_1F3FF_200D_1F91D_200D_1F468_1F3FE	men holding hands: dark skin tone, medium-dark skin tone
1F468_1F3FF_200D_1F9AF	man with white cane: dark skin tone
1F468_1F3FF_200D_1F9AF_200D_27A1	man with white cane: dark skin tone, facing right
1F468_1F3FF_200D_1F9B0	man: dark skin tone, red hair
1F468_1F3FF_200D_1F9B1	man: dark skin tone, curly hair
1F468_1F3FF_200D_1F9B2	man: dark skin tone, bald
1F468_1F3FF_200D_1F9B3	man: dark skin tone, white hair
1F468_1F3FF_200D_1F9BC	man in motorized wheelchair: dark skin tone
1F468_1F3FF_200D_1F9BC_200D_27A1	man in motorized wheelchair: dark skin tone, facing right
1F468_1F3FF_200D_1F9BD	man in manual wheelchair: dark skin tone
1F468_1F3FF_200D_1F9BD_200D_27A1	man in manual wheelchair: dark skin tone, facing right
1F468_1F3FF_200D_1FAEF_200D_1F468_1F3FB	men wrestling: dark skin tone, light skin tone
1F468_1F3FF_200D_1FAEF_200D_1F468_1F3FC	men wrestling: dark skin tone, medium-light skin tone
1F468_1F3FF_200D_1FAEF_200D_1F468_1F3FD	men wrestling: dark skin tone, medium skin tone
1F468_1F3FF_200D_1FAEF_200D_1F468_1F3FE	men wrestling: dark skin tone, medium-dark skin tone
1F469_200D_2695	woman health worker
1F469_200D_2696	woman judge
1F469_200D_2708	woman pilot
1F469_200D_2764_200D_1F468	couple with heart: woman, man
1F469_200D_2764_200D_1F469	couple with heart: woman, woman
1F469_200D_2764_200D_1F48B_200D_1F468	kiss: woman, man
1F469_200D_2764_200D_1F48B_200D_1F469	kiss: woman, woman
1F469_200D_1F33E	woman farmer
1F469_200D_1F373	woman cook
1F469_200D_1F37C	woman feeding baby
1F469_200D_1F393	woman student
1F469_200D_1F3A4	woman singer
1F469_200D_1F3A8	woman artist
1F469_200D_1F3EB	woman teacher
1F469_200D_1F3ED	woman factory worker
1F469_200D_1F466	family: woman, boy
1F469_200D_1F466_200D_1F466	family: woman, boy, boy
1F469_200D_1F467	family: woman, girl
1F469_200D_1F467_200D_1F466	family: woman, girl, boy
1F469_200D_1F467_200D_1F467	family: woman, girl, girl
1F469_200D_1F469_200D_1F466	family: woman, woman, boy
1F469_200D_1F469_200D_1F466_200D_1F466	family: woman, woman, boy, boy
1F469_200D_1F469_200D_1F467	family: woman, woman, girl
1F469_200D_1F469_200D_1F467_200D_1F466	family: woman, woman, girl, boy
1F469_200D_1F469_200D_1F467_200D_1F467	family: woman, woman, girl, girl
1F469_200D_1F4BB	woman technologist
1F469_200D_1F4BC	woman office worker
1F469_200D_1F527	woman mechanic
1F469_200D_1F52C	woman scientist
1F469_200D_1F680	woman astronaut
1F469_200D_1F692	woman firefighter
1F469_200D_1F9AF	woman with white cane
1F469_200D_1F9AF_200D_27A1	woman with white cane: facing right
1F469_200D_1F9B0	woman: red hair
1F469_200D_1F9B1	woman: curly hair
1F469_200D_1F9B2	woman: bald
1F469_200D_1F9B3	woman: white hair
1F469_200D_1F9BC	woman in motorized wheelchair
1F469_200D_1F9BC_200D_27A1	woman in motorized wheelchair: facing right
1F469_200D_1F9BD	woman in manual wheelchair
1F469_200D_1F9BD_200D_27A1	woman in manual wheelchair: facing right
1F469_1F3FB	woman: light skin tone
1F469_1F3FB_200D_2695	woman health worker: light skin tone
1F469_1F3FB_200D_2696	woman judge: light skin tone
1F469_1F3FB_200D_2708	woman pilot: light skin tone
1F469_1F3FB_200D_2764_200D_1F468_1F3FB	couple with heart: woman, man, light skin tone
1F469_1F3FB_200D_2764_200D_1F468_1F3FC	couple with heart: woman, man, light skin tone, medium-light skin tone
1F469_1F3FB_200D_2764_200D_1F468_1F3FD	couple with heart: woman, man, light skin tone, medium skin tone
1F469_1F3FB_200D_2764_200D_1F468_1F3FE	couple with heart: woman, man, light skin tone, medium-dark skin tone
1F469_1F3FB_200D_2764_200D_1F468_1F3FF	couple with heart: woman, man, light skin tone, dark skin tone
1F469_1F3FB_200D_2764_200D_1F469_1F3FB	couple with heart: woman, woman, light skin tone
1F469_1F3FB_200D_2764_200D_1F469_1F3FC	couple with heart: woman, woman, light skin tone, medium-light skin tone
1F469_1F3FB_200D_2764_200D_1F469_1F3FD	couple with heart: woman, woman, light skin tone, medium skin tone
1F469_1F3FB_200D_2764_200D_1F469_1F3FE	couple with heart: woman, woman, light skin tone, medium-dark skin tone
1F469_1F3FB_200D_2764_200D_1F469_1F3FF	couple with heart: woman, woman, light skin tone, dark skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FB	kiss: woman, man, light skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FC	kiss: woman, man, light skin tone, medium-light skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FD	kiss: woman, man, light skin tone, medium skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FE	kiss: woman, man, light skin tone, medium-dark skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FF	kiss: woman, man, light skin tone, dark skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F469_1F3FB	kiss: woman, woman, light skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F469_1F3FC	kiss: woman, woman, light skin tone, medium-light skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F469_1F3FD	kiss: woman, woman, light skin tone, medium skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F469_1F3FE	kiss: woman, woman, light skin tone, medium-dark skin tone
1F469_1F3FB_200D_2764_200D_1F48B_200D_1F469_1F3FF	kiss: woman, woman, light skin tone, dark skin tone
1F469_1F3FB_200D_1F33E	woman farmer: light skin tone
1F469_1F3FB_200D_1F373	woman cook: light skin tone
1F469_1F3FB_200D_1F37C	woman feeding baby: light skin tone
1F469_1F3FB_200D_1F393	woman student: light skin tone
1F469_1F3FB_200D_1F3A4	woman singer: light skin tone
1F469_1F3FB_200D_1F3A8	woman artist: light skin tone
1F469_1F3FB_200D_1F3EB	woman teacher: light skin tone
1F469_1F3FB_200D_1F3ED	woman factory worker: light skin tone
1F469_1F3FB_200D_1F430_200D_1F469_1F3FC	women with bunny ears: light skin tone, medium-light skin tone
1F469_1F3FB_200D_1F430_200D_1F469_1F3FD	women with bunny ears: light skin tone, medium skin tone
1F469_1F3FB_200D_1F430_200D_1F469_1F3FE	women with bunny ears: light skin tone, medium-dark skin tone
1F469_1F3FB_200D_1F430_200D_1F469_1F3FF	women with bunny ears: light skin tone, dark skin tone
1F469_1F3FB_200D_1F4BB	woman technologist: light skin tone
1F469_1F3FB_200D_1F4BC	woman office worker: light skin tone
1F469_1F3FB_200D_1F527	woman mechanic: light skin tone
1F469_1F3FB_200D_1F52C	woman scientist: light skin tone
1F469_1F3FB_200D_1F680	woman astronaut: light skin tone
1F469_1F3FB_200D_1F692	woman firefighter: light skin tone
1F469_1F3FB_200D_1F91D_200D_1F468_1F3FC	woman and man holding hands: light skin tone, medium-light skin tone
1F469_1F3FB_200D_1F91D_200D_1F468_1F3FD	woman and man holding hands: light skin tone, medium skin tone
1F469_1F3FB_200D_1F91D_200D_1F468_1F3FE	woman and man holding hands: light skin tone, medium-dark skin tone
1F469_1F3FB_200D_1F91D_200D_1F468_1F3FF	woman and man holding hands: light skin tone, dark skin tone
1F469_1F3FB_200D_1F91D_200D_1F469_1F3FC	women holding hands: light skin tone, medium-light skin tone
1F469_1F3FB_200D_1F91D_200D_1F469_1F3FD	women holding hands: light skin tone, medium skin tone
1F469_1F3FB_200D_1F91D_200D_1F469_1F3FE	women holding hands: light skin tone, medium-dark skin tone
1F469_1F3FB_200D_1F91D_200D_1F469_1F3FF	women holding hands: light skin tone, dark skin tone
1F469_1F3FB_200D_1F9AF	woman with white cane: light skin tone
1F469_1F3FB_200D_1F9AF_200D_27A1	woman with white cane: light skin tone, facing right
1F469_1F3FB_200D_1F9B0	woman: light skin tone, red hair
1F469_1F3FB_200D_1F9B1	woman: light skin tone, curly hair
1F469_1F3FB_200D_1F9B2	woman: light skin tone, bald
1F469_1F3FB_200D_1F9B3	woman: light skin tone, white hair
1F469_1F3FB_200D_1F9BC	woman in motorized wheelchair: light skin tone
1F469_1F3FB_200D_1F9BC_200D_27A1	woman in motorized wheelchair: light skin tone, facing right
1F469_1F3FB_200D_1F9BD	woman in manual wheelchair: light skin tone
1F469_1F3FB_200D_1F9BD_200D_27A1	woman in manual wheelchair: light skin tone, facing right
1F469_1F3FB_200D_1FAEF_200D_1F469_1F3FC	women wrestling: light skin tone, medium-light skin tone
1F469_1F3FB_200D_1FAEF_200D_1F469_1F3FD	women wrestling: light skin tone, medium skin tone
1F469_1F3FB_200D_1FAEF_200D_1F469_1F3FE	women wrestling: light skin tone, medium-dark skin tone
1F469_1F3FB_200D_1FAEF_200D_1F469_1F3FF	women wrestling: light skin tone, dark skin tone
1F469_1F3FC	woman: medium-light skin tone
1F469_1F3FC_200D_2695	woman health worker: medium-light skin tone
1F469_1F3FC_200D_2696	woman judge: medium-light skin tone
1F469_1F3FC_200D_2708	woman pilot: medium-light skin tone
1F469_1F3FC_200D_2764_200D_1F468_1F3FB	couple with heart: woman, man, medium-light skin tone, light skin tone
